Token 25, keyword void, line number 2
Token 150, identifier isPalindrome, line number 2
Token 50, delimiter (, line number 2
Token 5, keyword char, line number 2
Token 150, identifier str, line number 2
Token 54, delimiter [, line number 2
Token 55, delimiter ], line number 2
Token 51, delimiter ), line number 2
Token 56, delimiter {, line number 3
Token 16, keyword int, line number 5
Token 150, identifier l, line number 5
Token 68, operator =, line number 5
Token 152, Integer 0, line number 5
Token 53, delimiter ;, line number 5
Token 16, keyword int, line number 6
Token 150, identifier h, line number 6
Token 68, operator =, line number 6
Token 150, identifier strlen, line number 6
Token 50, delimiter (, line number 6
Token 150, identifier str, line number 6
Token 51, delimiter ), line number 6Token 25, keyword void, line number 2
Token 150, identifier isPalindrome, line number 2
Token 50, delimiter (, line number 2
Token 5, keyword char, line number 2
Token 150, identifier str, line number 2
Token 54, delimiter [, line number 2
Token 55, delimiter ], line number 2
Token 51, delimiter ), line number 2
Token 56, delimiter {, line number 3
Token 60, operator -, line number 6
Token 151, Integer 1, line number 6
Token 53, delimiter ;, line number 6
Token 26, keyword while, line number 9
Token 50, delimiter (, line number 9
Token 150, identifier h, line number 9
Token 70, operator >, line number 9
Token 150, identifier l, line number 9
Token 51, delimiter ), line number 9
Token 56, delimiter {, line number 10
Token 15, keyword if, line number 11
Token 50, delimiter (, line number 11
Token 150, identifier str, line number 11
Token 54, delimiter [, line number 11
Token 150, identifier l, line number 11
Token 58, operator +, line number 11
Token 58, operator +, line number 11
Token 55, delimiter ], line number 11
Token 51, operator !=, line number 11
Token 150, identifier str, line number 11
Token 54, delimiter [, line number 11
Token 150, identifier h, line number 11
Token 60, operator -, line number 11
Token 60, operator -, line number 11
Token 55, delimiter ], line number 11
Token 51, delimiter ), line number 11
Token 56, delimiter {, line number 12
Token 19, keyword printf, line number 13
Token 50, delimiter (, line number 13
Token 154, String "%s is Not Palindrome", line number 13
Token 52, delimiter ,, line number 13
Token 150, identifier str, line number 13
Token 51, delimiter ), line number 13
Token 53, delimiter ;, line number 13
Token 20, keyword return, line number 14
Token 53, delimiter ;, line number 14
Token 57, delimiter }, line number 15
Token 57, delimiter }, line number 16
Token 19, keyword printf, line number 17
Token 50, delimiter (, line number 17
Token 154, String "%s is palindrome", line number 17
Token 52, delimiter ,, line number 17
Token 150, identifier str, line number 17
Token 51, delimiter ), line number 17
Token 53, delimiter ;, line number 17
Token 57, delimiter }, line number 18
Token 16, keyword int, line number 21
Token 18, keyword main, line number 21
Token 50, delimiter (, line number 21
Token 51, delimiter ), line number 21
Token 56, delimiter {, line number 22
Token 150, identifier isPalindrome, line number 23
Token 50, delimiter (, line number 23
Token 154, String "abba", line number 23
Token 51, delimiter ), line number 23
Token 53, delimiter ;, line number 23
Token 150, identifier isPalindrome, line number 24
Token 50, delimiter (, line number 24
Token 154, String "abbccbba", line number 24
Token 51, delimiter ), line number 24
Token 53, delimiter ;, line number 24
Token 150, identifier isPalindrome, line number 25
Token 50, delimiter (, line number 25
Token 154, String "geeks", line number 25
Token 51, delimiter ), line number 25
Token 53, delimiter ;, line number 25
Token 20, keyword return, line number 26
Token 152, Integer 0, line number 26
Token 53, delimiter ;, line number 26
Token 57, delimiter }, line number 27
