Token 16, keyword int, line number 3
Token 150, identifier fact, line number 3
Token 50, delimiter (, line number 3
Token 16, keyword int, line number 3
Token 150, identifier n, line number 3
Token 51, delimiter ), line number 3
Token 56, delimiter {, line number 3
Token 15, keyword if, line number 4
Token 50, delimiter (, line number 4
Token 150, identifier n, line number 4
Token 62, operator <=, line number 4
Token 151, Integer 1, line number 4
Token 51, delimiter ), line number 4
Token 20, keyword return, line number 5
Token 151, Integer 1, line number 5
Token 53, delimiter ;, line number 5
Token 10, keyword else, line number 6
Token 20, keyword return, line number 7
Token 150, identifier n, line number 7
Token 55, operator *, line number 7
Token 150, identifier fact, line number 7
Token 50, delimiter (, line number 7
Token 150, identifier n, line number 7
Token 57, operator -, line number 7
Token 151, Integer 1, line number 7
Token 51, delimiter ), line number 7
Token 53, delimiter ;, line number 7
Token 57, delimiter }, line number 8
Token 25, keyword void, line number 9
Token 18, keyword main, line number 9
Token 50, delimiter (, line number 9
Token 25, keyword void, line number 9
Token 51, delimiter ), line number 9
Token 56, delimiter {, line number 9
Token 16, keyword int, line number 10
Token 150, identifier x, line number 10
Token 53, delimiter ;, line number 10
Token 150, identifier x, line number 11
Token 63, operator =, line number 11
Token 151, Integer 1, line number 11
Token 53, delimiter ;, line number 11
Token 26, keyword while, line number 12
Token 50, delimiter (, line number 12
Token 150, identifier x, line number 12
Token 62, operator <=, line number 12
Token 151, Integer 10, line number 12
Token 51, delimiter ), line number 12
Token 56, delimiter {, line number 12
Token 150, identifier write, line number 13
Token 50, delimiter (, line number 13
Token 150, identifier x, line number 13
Token 51, delimiter ), line number 13
Token 53, delimiter ;, line number 13
Token 150, identifier write, line number 14
Token 50, delimiter (, line number 14
Token 150, identifier fact, line number 14
Token 50, delimiter (, line number 14
Token 150, identifier x, line number 14
Token 51, delimiter ), line number 14
Token 51, delimiter ), line number 14
Token 53, delimiter ;, line number 14
Token 150, identifier writeln, line number 15
Token 50, delimiter (, line number 15
Token 51, delimiter ), line number 15
Token 53, delimiter ;, line number 15
Token 150, identifier x, line number 16
Token 63, operator =, line number 16
Token 150, identifier x, line number 16
Token 56, operator +, line number 16
Token 151, Integer 1, line number 16
Token 53, delimiter ;, line number 16
Token 57, delimiter }, line number 17
Token 57, delimiter }, line number 18
